ACDC Metro Station
	Cannon		ABCDE		
	HiCannon	CDEFG		
	M-Cannon	EFGHI		
	Shotgun		BFHJN		
	V-Gun		AFGLP		
	CrossGun	HJMQS		
	Spreader	MNOPQ		
	Bubbler		BGHPR		
	Bub-V		CDJNS		
	BubCross	KOPTV		
	HeatShot	BGHPR		
	Heat-V		CDJNS		
	HeatCros	KOPTV		
	MiniBomb	BEGLO		
	LilBomb		FJOQT		
	CrosBomb	DJOQT		
	BigBomb		OQTVY		
	TreeBom1	BGHPR		
	TreeBom2	CDJNS		
	TreeBom3	KOPTV		
	Sword		AKLSY		
	WideSwrd	ACLQY		
	LongSwrd	AILOY		
	FireSwrd	FHNRU		
	AquaSwrd	AHNRW		
	ElecSwrd	EHNRV		
	FireBlde	FHPRZ		
	AquaBlde	AFJRZ		
	ElecBlde	EFMNR		
	Kunai1		EILPS		
	Kunai2		DFJQR		
	Kunai3		CGHKN		
	Shockwav	HJLRU		
	Sonicwav	EIMSW		
	Dynawave	GNQTV		
	Quake1		AMPQW		
	Quake2		BGNQW		
	Quake3		CEOQW		
	GutPunch	BDHKN		
	ColdPnch	BDLPS		
	Atk+20		*			
	DashAtk		BDGJL		
	Wrecker		OQSUW		
	CannBall	OPQRS		
	DoubNdl		ACFIJ		
	TripNdl		CIMTV		
	QuadNdl		CHIPU		
	Ratton1		HIJKL		
	Ratton2		JKLMN		
	Ratton3		LMNOP		
	Burner		ABFLS		
	ZapRing1	AMPQW		
	ZapRing2	BGNRS		
	ZapRing3	CEOTZ		
	Spice1		ACGQT		
	Spice2		BEHJN		
	Spice3		DKMPQ		
	Satelit1	GOQUW		
	Satelit2	HJKPR		
	Satelit3	LSTYZ		
	Yo-Yo1		CERTV		
	Yo-Yo2		AGJKN		
	Yo-Yo3		DIMSY		
	MagBomb1	FGJMN		
	MagBomb2	BDIRT		
	MagBomb3	HKOQS		
	Meteor9		CELSV		
	Meteor12	ACFJW		
	Meteor15	DGHRZ		
	Hammer		RTUVZ		
	CrsShld1	AOPSZ		
	CrsShld2	AOPTV		
	CrsShld3	AOPUW		
	TimeBom1	CGKMZ		
	TimeBom2	FGKOZ		
	TimeBom3	EGKPZ		
	LilCloud	CGIKN		
	MedCloud	DHJLO		
	BigCloud	QRTUW		
	Remobit1	EGJKN		
	Remobit2	BFIRU		
	Remobit3	ALMTY		
	AquaBall	ABQTW		
	ElecBall	EHJKV		
	HeatBall	CFRSU		
	PoisMask	DSUWZ		
	PoisFace	PQUWY		
	Whirlpl		ACEGI		
	Blckhole	BDFHJ		
	Guard		*			
	Barrier		BELST		
	PanlOut1	ABDLS		
	PanlOut3	CENRY		
	LineOut		FHJQT		
	BrnzFist	BNORS		
	SilvFist	EILSV		
	Recov10		ACEGL		
	Recov30		BDFHM		
	Recov50		CEGIN		
	Recov80		DFHJO		
	Recov120	OQSUW		
	Recov150	NPRTV		
	Recov200	MNUVW		
	Recov300	ORVWZ		
	PanlGrab	BHKLP		
	AreaGrab	ELRSZ		
	Catcher		FIJNT		
	Escape		FHJLN		
	AirShoes	AJOVZ		
	Repair		ACELP		
	Candle1		CFIMV		
	Candle2		AGJLT		
	Candle3		BEHNW		
	RockCube	BDGMV		
	Wind		GJOQT		
	Fan			AGLNY		
	SloGauge	*			
	FstGauge	*			
	FullCust	*			
	Invis1		AFLRU		
	Invis2		BHMQV		
	Invis3		CGKPW		
	StoneBod	CESTW		
	Shadow1		BGHLR		
	Shadow2		DEJMT		
	Shadow3		CFKNV		
	LeafShld	ADRSW		
	AquaAura	AEIMQ		
	FireAura	BFJNR		
	WoodAura	CGKOS		
	ElecAura	DHLPT		
	LifeAur1	BGIOQ		
	LifeAur2	DFJNR		
	Atk+10		*			
	Fire+40		*			
	Aqua+40		*			
	Wood+40		*			
	Elec+40		*			
	Navi+20		*			
	Roll		R*			
	RollV2		R*			
	RollV3		R			
	GutsMan		G*			
	GutsManV2	G			
	GutsManV3	G			
	ProtoMan	B*			
	ProtoMnV2	B			
	ProtoMnV3	B			
	AirMan		A*			
	AirManV2	A*			
	AirManV3	A*			
	QuickMan	Q*			
	QuickMnV2	Q*			
	QuickMnV3	Q*			
	CutMan		C*			
	CutManV2	C*			
	CutManV3	C*			
	ShadoMan	S*			
	ShadoMnV2	S			
	ShadoMnV3	S			
	KnightMn	K*			
	KnghtMnV2	K			
	KnghtMnV3	K			
	MagnetMn	M*			
	MagntMnV2	M			
	MagntMnV3	M			
	FreezeMn	F*			
	FrzManV2	F			
	FrzManV3	F			
	HeatMan		H*			
	HeatManV2	H			
	HeatManV3	H			
	ToadMan		T*			
	ToadManV2	T			
	ToadManV3	T			
	ThunMan		T*			
	ThunManV2	T			
	ThunManV3	T			
	SnakeMan	S*			
	SnakeMnV2	S			
	SnakeMnV3	S			
	GateMan		G*			
	GateManV2	G			
	GateManV3	G			
	PlanetMn	P			
	PlnetMnV2	P			
	PlnetMnV3	P			
	NapalmMn	N			
	NaplmMnV2	N			
	NaplmMnV3	N			
	PharoMan	P			
	PharoMnV2	P			
	PharoMnV3	P			
