	Cannon		CE
	Sword		S
	WideSwrd	CKMNS
	LilBomb		BT
	Bubbler		KL
	MiniBomb	EJ
	Shotgun		KMQR
	CrossGun	CEFK
	ShokWave	CLN
	Quake1		AQ
	GutsPnch	BHNT
	Dash		BGLO
	MetGuard	CEG
	TriArrow	A
	Typhoon		DE
	Thunder1	EH
	Snakegg1	GN
	Ratton1		DE
	Lockon1		CL
	Recov30		EL
	Recov50		CGL
	Recov80		EG
	Repair		AHKS
	Cloud		G
	Remobit1	FN
	Remobit2	BH
	Remobit3	JK
	RingZap1	HM
	HiCannon	IJ
	LongSwrd	ENS
	CrosBomb	BJ
	Spreader	HIJKL
	Heater		CO
	SoniWave	CJ
	FireTowr	LT
	AquaTowr	AC
	WoodTowr	HN
	Quake2		IKQ
	FireSwrd	FGP
	IcePunch	BHNT
	TriSpear	J
	Huricane	KL
	Thunder2	BC
	Snakegg2	HN
	Hammer		AIQ
	Ratton2		GJ
	Lockon2		BM
	X-Panel1	BD
	Recov120	EG
	Recov150	A
	AquaAura	DE
	Cloudier	AD
	IceCube		I
	TimeBom1	EGQ
	Invis1		OQ
	IronBody	DL
	RingZap2	EG
	Candle1		FI
	SloGauge	HKNOQ
	FstGauge	ACELN
	Drain1		BD
	Drain2		CH
	Mine1		NP
	BblWrap1	CM
	BblWrap2	K
	IronShld	ABORT
	Barrier		DFMRS
	M-Cannon	LN
	DynaWave	CER
	Quake3		CHQ
	ElecSwrd	EGLO
	AquaSwrd	AMO
	FtrSword	BKLPS
	Cyclone		EI
	Thunder3	GK
	Snakegg3	FL
	Ratton3		KM
	Lockon3		AO
	X-Panel3	DL
	Recov200	E
	Steal		AELP
	Geddon1		FHJLN
	Escape		FHJLN
	Interupt	FHJLN
	FireAura	GNT
	Cloudest	FJ
	RockCube	EG
	TimeBom2	FLS
	Invis2		AFM
	BstrGard	AGKNR
	RingZap3	OR
	Candle2		JL
	Drain3		EL
	Mine2		EG
	Gaia1		O
	BblWrap3	A
	Wave		DML
	RedWave		BEJ
	Dynamyt1	GS
	Dynamyt2	MN
	Dynamyt3	OP
	LeafShld	DFK
