Higsby's
	Cannon		ABCDE		
	HiCannon	HIJKL		
	AirShot1	*			
	AirShot2	*			
	LavaCan1	AGSTV		
	LavaCan2	BDFMO		
	ShotGun		BFJNT		
	V-Gun		DGLPV		
	SideGun		CHMSY		
	Spreader	MNOPQ		
	Bubbler		ACDEP		
	Bub-V		DEFSV		
	BublSide	BEFGR		
	HeatShot	BHIJP		
	Heat-V		FIJKV		
	HeatSide	CJKLT		
	MiniBomb	BGLOS		
	SnglBomb	DFHJT		
	DublBomb	ACHKQ		
	CannBall	ADFLP		
	BlkBomb1	FLNPZ		
	Sword		EHLSY		
	WideSwrd	CELQY		
	LongSwrd	EILRY		
	FireSwrd	FNPRU		
	AquaSwrd	AHNPT		
	ElecSwrd	EKNPV		
	BambSwrd	BLNPW		
	CustSwrd	BFRVZ		
	StepSwrd	LMNOP		
	Panic		ACLRZ		
	AirSwrd		CEHJR		
	Slasher		BDGRS		
	ShockWav	DHJLR		
	SonicWav	GIMSW		
	GutPunch	BCDEF		
	AirStrm1	AFHOS		
	AirStrm2	CGHMW		
	DashAtk		CDGJZ		
	Burner		BFQSW		
	Totem1		GHMOV		
	Totem2		ACETZ		
	Ratton1		ACFHJ		
	Ratton2		ACFNO		
	Wave		EILST		
	Hammer		BGLPT		
	Tornado		CLRTU		
	ZapRing1	AMPQS		
	ZapRing2	BGNRW		
	Yo-Yo1		CDEFG		
	Yo-Yo2		HIJKL		
	Spice1		BDISZ		
	Spice2		CFIKR		
	Lance		DEHRZ		
	Rope1		DGJMO		
	Rope2		EGOTU		
	Magnum1		ACHTV		
	Magnum2		BGNOZ		
	Boomer1		FHJMT		
	Boomer2		EIKNV		
	RndmMetr	EISVZ		
	HoleMetr	CHJNQ		
	IceWave1	AKMQW		
	IceWave2	DHLPR		
	Plasma1		BDJRT		
	Plasma2		AGKMQ		
	Arrow1		BEMQT		
	Arrow2		FRSUZ		
	TimeBomb	JKLMN		
	Mine		ADLRS		
	Sensor1		CKLOP		
	Sensor2		AGHNS		
	CrsShld1	ACHLP		
	CrsShld2	BCLST		
	Geyser		BCLSW		
	PoisMask	AFNQV		
	PoisFace	ANQVW		
	Shake1		EGRSU		
	Shake2		BFILQ		
	FireRatn	BFHMY		
	Guard		*			
	PanlOut1	ABDLS		
	PanlOut3	CENRY		
	Recov10		ACEGL		
	Recov30		BDFHM		
	Recov50		CEGIN		
	Recov80		DFHJO		
	Recov120	OQSUW		
	Recov150	NPRTV		
	PanlGrab	AHLSY		
	AreaGrab	ELRSY		
	Snake		DEIRY		
	Team1		ACETZ		
	MetaGel1	BCDKY		
	MetaGel2	EFGPS		
	GrabBack	AEIKN		
	Geddon1		DJMOS		
	RockCube	ACEHR		
	Prism		HJKQW		
	Wind		AEHOS		
	Fan			AGLRT		
	RockArm1	DHJOP		
	RockArm2	GMPSV		
	Pawn		BENRY		
	Knight		CHMUV		
	Rook		DFNQU		
	Needler1	IJMRS		
	Needler2	FHMTV		
	SloGauge	ACRSZ		
	FstGauge	BEJRY		
	Repair		ACDFS		
	Invis		BEFRS		
	Mole1		ADHJO		
	Mole2		BGIKR		
	AirShoes	HINUY		
	Team2		DLPSZ		
	Fanfare		CEGLY		
	Discord		DFNTZ		
	Barrier		CELRS		
	Barr100		EJMRT		
	NrthWind	ACNSZ		
	HolyPanl	EJLRU		
	LavaStge	AERTY		
	IceStage	CGMQT		
	GrassStg	EJRWZ		
	SandStge	BCQUW		
	MetlStge	DGMOS		
	AntiDmg		CFHMS		
	AntiRecv	BDEOS		
	CopyDmg		AFHLY		
	Atk+10		*			
	Fire+30		*			
	Aqua+30		*			
	Elec+30		*			
	Wood+30		*			
	Navi+20		*			
