Higsby's
	Cannon		ABC			
	HiCannon	CDE			
	AirShot		ASV			
	Blizzard	HJV			
	Silence		CMR			
	Tornado		ELT			
	WideSht1	CDE			
	FlmLine1	FGH			
	Vulcan1		ESV			
	Vulcan2		BHO			
	Spreader	LMN			
	HeatShot	BCD			
	Bubbler		PQR			
	LifeSync	NQY			
	MiniBomb	BLT			
	EnergBom	ENT			
	MagBolt1	BCD			
	Binder1		COS			
	Binder2		ATY			
	Ball		BTV			
	SandRing	CRS			
	Sword		ELS			
	WideSwrd	ELS			
	LongSwrd	ELS			
	Thunder1	BLP			
	Counter1	FMT			
	AirHoc1		DEF			
	Boomer1		LMN			
	SidBmbo1	BIR			
	Wind		*			
	Fan			*			
	Guard1		ALV			
	CrakOut		*			
	DublCrak	BLR			
	TripCrak	BLR			
	TimeBomb	JKL			
	RockCube	*			
	Fanfare		EGN			
	Discord		DTV			
	BigHamr1	BRO			
	Recov10		ALN			
	Recov30		FHR			
	Recov50		ELS			
	Recov80		BJO			
	Recov120	FJQ			
	Repair		IPR			
	PanlGrab	KOY			
	AreaGrab	EMS			
	GrabBnsh	EKP			
	PnlRetrn	*			
	Geddon1		JKW			
	ColorPt		*			
	Blinder		*			
	MokoRus1	CIM			
	Invis		*			
	Barrier		ADZ			
	HolyPanl	*			
	CopyDmg		*			
	Atk+10		*			
