Marine Harbor Lobby
	Cannon		ABCDE		
	HiCannon	CDEFG		
	Shotgun		BFHJN		
	V-Gun		AFGLP		
	CrossGun	HJMQS		
	Spreader	MNOPQ		
	Bubbler		BGHPR		
	Bub-V		CDJNS		
	HeatShot	BGHPR		
	Heat-V		CDJNS		
	MiniBomb	BEGLO		
	LilBomb		FJOQT		
	CrosBomb	DJOQT		
	TreeBom1	BGHPR		
	Sword		AKLSY		
	WideSwrd	ACLQY		
	LongSwrd	AILOY		
	FireSwrd	FHNRU		
	AquaSwrd	AHNRW		
	ElecSwrd	EHNRV		
	FireBlde	FHPRZ		
	AquaBlde	AFJRZ		
	ElecBlde	EFMNR		
	Shockwav	HJLRU		
	Sonicwav	EIMSW		
	Quake1		AMPQW		
	GutPunch	BDHKN		
	ColdPnch	BDLPS		
	DashAtk		BDGJL		
	Wrecker		OQSUW		
	DoubNdl		ACFIJ		
	TripNdl		CIMTV		
	Ratton1		HIJKL		
	Burner		ABFLS		
	ZapRing1	AMPQW		
	Spice1		ACGQT		
	Satelit1	GOQUW		
	Meteor9		CELSV		
	Hammer		RTUVZ		
	TimeBom1	CGKMZ		
	LilCloud	CGIKN		
	Remobit1	EGJKN		
	Remobit2	BFIRU		
	PoisMask	DSUWZ		
	Whirlpl		ACEGI		
	Blckhole	BDFHJ		
	Guard		*			
	Barrier		BELST		
	PanlOut1	ABDLS		
	PanlOut3	CENRY		
	LineOut		FHJQT		
	BrnzFist	BNORS		
	SilvFist	EILSV		
	Recov10		ACEGL		
	Recov30		BDFHM		
	Recov50		CEGIN		
	Recov80		DFHJO		
	PanlGrab	BHKLP		
	AreaGrab	ELRSZ		
	GrabRvng	ALPSW		
	Geddon1		CKLQS		
	Catcher		FIJNT		
	Mindbndr	DIMNT		
	Escape		FHJLN		
	AirShoes	AJOVZ		
	Repair		ACELP		
	Candle1		CFIMV		
	RockCube	BDGMV		
	Wind		GJOQT		
	Fan			AGLNY		
	SloGauge	*			
	FstGauge	*			
	Invis1		AFLRU		
	Atk+10		*			
