Marine Harbor
	HiCannon	CDEFG		
	M-Cannon	EFGHI		
	Spreader	MNOPQ		
	BubCross	KOPTV		
	BubSprd		EFILM		
	HeatCros	KOPTV		
	HeatSprd	EFILM		
	CrosBomb	DJOQT		
	BigBomb		OQTVY		
	TreeBom2	CDJNS		
	TreeBom3	KOPTV		
	FireSwrd	FHNRU		
	AquaSwrd	AHNRW		
	ElecSwrd	EHNRV		
	FireBlde	FHPRZ		
	AquaBlde	AFJRZ		
	ElecBlde	EFMNR		
	StepSwrd	DHMQU		
	Muramasa	NOTUW		
	CustSwrd	BGKQT		
	Kunai2		DFJQR		
	Kunai3		CGHKN		
	Slasher		ADHLQ		
	Sonicwav	EIMSW		
	Dynawave	GNQTV		
	Quake2		BGNQW		
	Quake3		CEOQW		
	GutPunch	BDHKN		
	ColdPnch	BDLPS		
	Atk+20		*			
	Aqua+40		*			
	Navi+40		*			
	Wrecker		OQSUW		
	CannBall	OPQRS		
	TripNdl		CIMTV		
	QuadNdl		CHIPU		
	Ratton2		JKLMN		
	Ratton3		LMNOP		
	FireRat		BFGHR		
	Twister		NOTUY		
	Blower		PRTWZ		
	Burner		ABFLS		
	ZapRing2	BGNRS		
	ZapRing3	CEOTZ		
	Spice2		BEHJN		
	Spice3		DKMPQ		
	Satelit2	HJKPR		
	Satelit3	LSTYZ		
	Yo-Yo2		AGJKN		
	Yo-Yo3		DIMSY		
	MagBomb2	BDIRT		
	MagBomb3	HKOQS		
	Meteor12	ACFJW		
	Meteor15	DGHRZ		
	Meteor18	BGIKO		
	Hammer		RTUVZ		
	CrsShld2	AOPTV		
	CrsShld3	AOPUW		
	TimeBom2	FGKOZ		
	TimeBom3	EGKPZ		
	MedCloud	DHJLO		
	BigCloud	QRTUW		
	Remobit2	BFIRU		
	Remobit3	ALMTY		
	AquaBall	ABQTW		
	ElecBall	EHJKV		
	HeatBall	CFRSU		
	Geyser		ABDLS		
	LavaDrag	FGORY		
	GodStone	EILQU		
	OldWood		CMSTW		
	PoisMask	DSUWZ		
	PoisFace	PQUWY		
	Whirlpl		ACEGI		
	Blckhole	BDFHJ		
	Barrier		BELST		
	LineOut		FHJQT		
	Lance		OPTVY		
	ZeusHamr	JKOVZ		
	BrnzFist	BNORS		
	SilvFist	EILSV		
	GoldFist	DGLOZ		
	VarSwrd		BLNTZ		
	Recov120	OQSUW		
	Recov150	NPRTV		
	Recov200	MNUVW		
	Recov300	ORVWZ		
	AreaGrab	ELRSZ		
	GrabRvng	ALPSW		
	Geddon2		JMRTZ		
	Geddon3		EJNPY		
	Catcher		FIJNT		
	Mindbndr	DIMNT		
	AirShoes	AJOVZ		
	Repair		ACELP		
	Candle2		AGJLT		
	Candle3		BEHNW		
	RockCube	BDGMV		
	Prism		BCLNQ		
	Guardian	OPUVZ		
	Wind		GJOQT		
	Fan			AGLNY		
	Anubis		HKMUW		
	SloGauge	*			
	FstGauge	*			
	FullCust	*			
	Invis2		BHMQV		
	Invis3		CGKPW		
	DropDown	ACFQS		
	PopUp		DIJTW		
	StoneBod	CESTW		
	Shadow2		DEJMT		
	Shadow3		CFKNV		
	UnderSht	HJNRW		
	LeafShld	ADRSW		
	AquaAura	AEIMQ		
	FireAura	BFJNR		
	WoodAura	CGKOS		
	ElecAura	DHLPT		
	MagLine		AEIMQ		
	LavaLine	AFJMR		
	IceLine		BEJNQ		
	GrassLne	BFINR		
	LavaStge	DHMUV		
	IceStage	ACEIS		
	GrassStg	BDHPR		
	HolyPanl	CEHLR		
	Jealosy		EJORU		
	AntiFire	FKLPT		
	AntiElec	EHNUY		
	AntiWatr	ADQWZ		
	AntiDmg		CJMRS		
	AntiSwrd	DHIMT		
	AntiNavi	KLOTX		
	AntiRecv	BDMPW		
	Atk+10		*			
	Fire+40		*			
	Aqua+40		*			
	Wood+40		*			
	Elec+40		*			
	Navi+20		*			
