Netopia Town
	Cannon		ABCDE		
	HiCannon	CDEFG		
	M-Cannon	EFGHI		
	Shotgun		BFHJN		
	Spreader	MNOPQ		
	Bubbler		BGHPR		
	Bub-V		CDJNS		
	BubCross	KOPTV		
	HeatShot	BGHPR		
	Heat-V		CDJNS		
	HeatCros	KOPTV		
	CrosBomb	DJOQT		
	BigBomb		OQTVY		
	TreeBom1	BGHPR		
	TreeBom2	CDJNS		
	FireSwrd	FHNRU		
	AquaSwrd	AHNRW		
	ElecSwrd	EHNRV		
	FireBlde	FHPRZ		
	AquaBlde	AFJRZ		
	ElecBlde	EFMNR		
	StepSwrd	DHMQU		
	CustSwrd	BGKQT		
	Kunai1		EILPS		
	Kunai2		DFJQR		
	Slasher		ADHLQ		
	Sonicwav	EIMSW		
	Dynawave	GNQTV		
	Quake1		AMPQW		
	Quake2		BGNQW		
	Atk+20		*			
	Wrecker		OQSUW		
	DoubNdl		ACFIJ		
	TripNdl		CIMTV		
	Ratton1		HIJKL		
	Ratton2		JKLMN		
	FireRat		BFGHR		
	Twister		NOTUY		
	Blower		PRTWZ		
	Burner		ABFLS		
	ZapRing2	BGNRS		
	Spice2		BEHJN		
	Satelit1	GOQUW		
	Satelit2	HJKPR		
	Yo-Yo1		CERTV		
	Yo-Yo2		AGJKN		
	MagBomb1	FGJMN		
	MagBomb2	BDIRT		
	Meteor9		CELSV		
	Meteor12	ACFJW		
	Hammer		RTUVZ		
	CrsShld1	AOPSZ		
	CrsShld2	AOPTV		
	TimeBom1	CGKMZ		
	TimeBom2	FGKOZ		
	LilCloud	CGIKN		
	MedCloud	DHJLO		
	Remobit1	EGJKN		
	Remobit2	BFIRU		
	AquaBall	ABQTW		
	ElecBall	EHJKV		
	Geyser		ABDLS		
	PoisMask	DSUWZ		
	PoisFace	PQUWY		
	Whirlpl		ACEGI		
	Blckhole	BDFHJ		
	Barrier		BELST		
	LineOut		FHJQT		
	BrnzFist	BNORS		
	SilvFist	EILSV		
	VarSwrd		BLNTZ		
	Recov80		DFHJO		
	Recov120	OQSUW		
	Recov150	NPRTV		
	Recov200	MNUVW		
	AreaGrab	ELRSZ		
	GrabRvng	ALPSW		
	Geddon1		CKLQS		
	Geddon2		JMRTZ		
	Catcher		FIJNT		
	Mindbndr	DIMNT		
	AirShoes	AJOVZ		
	Repair		ACELP		
	Candle1		CFIMV		
	Candle2		AGJLT		
	RockCube	BDGMV		
	Prism		BCLNQ		
	Wind		GJOQT		
	Fan			AGLNY		
	SloGauge	*			
	FstGauge	*			
	FullCust	*			
	Invis1		AFLRU		
	Invis2		BHMQV		
	Shadow1		BGHLR		
	Shadow2		DEJMT		
	LeafShld	ADRSW		
	Fire+40		*			
	Aqua+40		*			
	Wood+40		*			
	Elec+40		*			
	Navi+20		*			
	Roll		R*			
	RollV2		R			
	GutsMan		G*			
	GutsManV2	G			
	AirMan		A*			
	AirManV2	A			
	QuickMan	Q*			
	QuickMnV2	Q			
	CutMan		C*			
	CutManV2	C			
	GateMan		G*			
	GateManV2	G			
